d1,d2,score,count,n1,n2,atc1,atc2,atc1_first,atc2_first
DCC1555,DCC1639,0.8589589969935957,8,Panitumumab,Ixabepilone,L01XC08,L01DC04,L,L
DCC1555,DCC1688,0.8611449396075083,8,Panitumumab,Axitinib,L01XC08,L01XE17,L,L
DCC0189,DCC1024,0.8569030650532631,4,Irinotecan,Teprotumumab,L01XX19,-,L,-
DCC0120,DCC1024,0.8514732927897589,4,Oxaliplatin,Teprotumumab,L01XA03,-,L,-
DCC0307,DCC1024,0.8554397653387458,4,Trimetrexate,Teprotumumab,P01AX07,-,P,-
DCC0420,DCC1024,0.8551434170886362,4,Tirapazamine,Teprotumumab,-,-,-,-
DCC0275,DCC1024,0.8550983837755509,4,Procainamide,Teprotumumab,C01BA02,-,C,-
DCC0414,DCC1024,0.8578701183808254,4,Mesna,Teprotumumab,R05CB05,-,R,-
DCC0787,DCC1024,0.8507167802913952,4,Ipilimumab,Teprotumumab,L01XC11,-,L,-
DCC1657,DCC1024,0.8525408312404331,4,Vandetanib,Teprotumumab,L01XE12,-,L,-
DCC0777,DCC1024,0.8506283015404679,4,Pazopanib,Teprotumumab,L01XE11,-,L,-
DCC0191,DCC0458,0.8506902540081392,4,Etoposide,Phenoxodiol,L01CB01,-,L,-
DCC0458,DCC0117,0.8549478169311552,4,Phenoxodiol,Cisplatin,-,L01XA01,-,L
DCC0189,DCC0384,0.8730478659150552,3,Irinotecan,L744832,L01XX19,-,L,-
DCC0153,DCC0415,0.8679114292398568,3,Clofarabine,Sabarubicin,L01BB06,-,L,-
DCC0153,DCC0457,0.8711694359539554,3,Clofarabine,Sorivudine,L01BB06,-,L,-
DCC0153,DCC0439,0.8502989624636156,3,Clofarabine,"5-2,4-dihydroxypyrimidine",L01BB06,-,L,-
DCC0153,DCC0461,0.8684870897962284,3,Clofarabine,Lexatumumab,L01BB06,-,L,-
DCC0122,DCC0457,0.9126294422517756,3,Erlotinib,Sorivudine,L01XE03,-,L,-
DCC0122,DCC0384,0.8811380757686749,3,Erlotinib,L744832,L01XE03,-,L,-
DCC0122,DCC0439,0.8904032285187787,3,Erlotinib,"5-2,4-dihydroxypyrimidine",L01XE03,-,L,-
DCC0122,DCC0401,0.8663847852433321,3,Erlotinib,Phorbol,L01XE03,-,L,-
DCC0158,DCC0457,0.8872551326083165,3,Pemetrexed,Sorivudine,L01BA04,-,L,-
DCC0158,DCC0384,0.8581993233349663,3,Pemetrexed,L744832,L01BA04,-,L,-
DCC0158,DCC0439,0.8655474365815143,3,Pemetrexed,"5-2,4-dihydroxypyrimidine",L01BA04,-,L,-
DCC0001,DCC0384,0.871538338051829,3,Cetuximab,L744832,L01XC06,-,L,-
DCC0146,DCC0769,0.8728383293801727,2,Amodiaquine,Piperaquine,P01BA06,-,P,-
DCC0146,DCC0912,0.8763807692816169,2,Amodiaquine,Dihydroartemisinin,P01BA06,-,P,-
DCC0464,DCC0912,0.8512016449666413,2,Artesunate,Dihydroartemisinin,P01BE03,-,P,-
DCC0415,DCC0361,0.8559258703879817,3,Sabarubicin,Vorinostat,-,L01XX38,-,L
DCC0415,DCC0330,0.8606835683432889,3,Sabarubicin,Dasatinib,-,L01XE06,-,L
DCC0415,DCC0384,0.8869209621218505,3,Sabarubicin,L744832,-,-,-,-
DCC0415,DCC0355,0.8883080765076986,3,Sabarubicin,Genistein,-,-,-,-
DCC0415,DCC0336,0.8858582684642077,3,Sabarubicin,Sunitinib,-,L01XE04,-,L
DCC0415,DCC0416,0.8934525950292618,3,Sabarubicin,Potassium,-,-,-,-
DCC0415,DCC0439,0.8934123922642337,3,Sabarubicin,"5-2,4-dihydroxypyrimidine",-,-,-,-
DCC0415,DCC0046,0.8936055353528007,3,Sabarubicin,Mitomycin,-,L01DC03,-,L
DCC0415,DCC0006,0.8789366794159023,3,Sabarubicin,Aldesleukin,-,L03AC01,-,L
DCC0415,DCC0271,0.8540914426643114,3,Sabarubicin,Topotecan,-,L01XX17,-,L
DCC0415,DCC0426,0.8711984588144451,3,Sabarubicin,2-methoxyestradiol,-,-,-,-
DCC0415,DCC1205,0.8974798527085012,3,Sabarubicin,Midodrine,-,C01CA17,-,C
DCC0415,DCC0162,0.8897327074322958,3,Sabarubicin,Leucovorin,-,V03AF03,-,V
DCC0415,DCC0364,0.8709009852818564,3,Sabarubicin,Flavopiridol,-,-,-,-
DCC0415,DCC0401,0.8704337909147544,3,Sabarubicin,Phorbol,-,-,-,-
DCC0415,DCC0104,0.9176232106048238,3,Sabarubicin,Raloxifene,-,G03XC01,-,G
DCC0415,DCC0307,0.9177521524050162,3,Sabarubicin,Trimetrexate,-,P01AX07,-,P
DCC0415,DCC0429,0.8788369943467401,3,Sabarubicin,Afatinib,-,L01XE13,-,L
DCC0415,DCC0067,0.8948121744015233,3,Sabarubicin,Vinorelbine,-,L01CA04,-,L
DCC0415,DCC0414,0.908614287465614,3,Sabarubicin,Mesna,-,R05CB05,-,R
DCC0415,DCC0411,0.9030371726316124,3,Sabarubicin,Lomeguatrib,-,-,-,-
DCC0415,DCC0787,0.8901614944622332,3,Sabarubicin,Ipilimumab,-,L01XC11,-,L
DCC0415,DCC1628,0.8810510519275314,3,Sabarubicin,Fotemustine,-,L01AD05,-,L
DCC0415,DCC0634,0.8805306106419192,3,Sabarubicin,Enzastaurin,-,-,-,-
DCC0415,DCC1461,0.8877714701222196,3,Sabarubicin,Isotretinoin,-,D10BA01,-,D
DCC0415,DCC0904,0.8737527882174346,3,Sabarubicin,Neratinib,-,-,-,-
DCC0415,DCC1120,0.8879003905729892,3,Sabarubicin,Pegfilgrastim,-,L03AA10,-,L
DCC0415,DCC1657,0.9030506279652613,3,Sabarubicin,Vandetanib,-,L01XE12,-,L
DCC0415,DCC0596,0.8907239004939402,3,Sabarubicin,ABT-751,-,-,-,-
DCC0415,DCC1555,0.9091600973135492,3,Sabarubicin,Panitumumab,-,L01XC08,-,L
DCC0415,DCC1639,0.9054411424312394,3,Sabarubicin,Ixabepilone,-,L01DC04,-,L
DCC0415,DCC0777,0.8814154423707118,3,Sabarubicin,Pazopanib,-,L01XE11,-,L
DCC0415,DCC0622,0.866736748839485,3,Sabarubicin,Iniparib,-,-,-,-
DCC0415,DCC1129,0.8832019758236158,3,Sabarubicin,Palifermin,-,V03AF08,-,V
DCC0415,DCC1024,0.9252183593128771,3,Sabarubicin,Teprotumumab,-,-,-,-
DCC0415,DCC1234,0.852941876821027,3,Sabarubicin,Bleomycin,-,L01DC01,-,L
DCC0415,DCC1535,0.8622620395053516,3,Sabarubicin,Mitoxantrone,-,L01DB07,-,L
DCC0415,DCC1106,0.8505260482917786,3,Sabarubicin,Ofatumumab,-,L01XC10,-,L
DCC0415,DCC1710,0.8714376296512111,3,Sabarubicin,Plerixafor,-,L03AX16,-,L
DCC0415,DCC1245,0.8512041464614445,3,Sabarubicin,Floxuridine,-,-,-,-
DCC0415,DCC0620,0.8632097378995974,3,Sabarubicin,Canfosfamide,-,-,-,-
DCC0415,DCC1681,0.8870536318229032,3,Sabarubicin,Pertuzumab,-,L01XC13,-,L
DCC0415,DCC1688,0.903665668881102,3,Sabarubicin,Axitinib,-,L01XE17,-,L
DCC0415,DCC1624,0.8967931074114913,3,Sabarubicin,Uracil,-,-,-,-
DCC0415,DCC1321,0.8634848124495714,3,Sabarubicin,Vinblastine,-,L01CA01,-,L
DCC0415,DCC0532,0.8572734929239769,3,Sabarubicin,Trientine,-,-,-,-
DCC0415,DCC0956,0.8689359002046686,3,Sabarubicin,Obatoclax,-,-,-,-
DCC0374,DCC0344,0.8582713877136754,2,Lumefantrine,Cefepime,P01BF01,J01DE01,P,J
DCC0361,DCC0457,0.8615265182293029,3,Vorinostat,Sorivudine,L01XX38,-,L,-
DCC0361,DCC0461,0.8564659266638851,3,Vorinostat,Lexatumumab,L01XX38,-,L,-
DCC0457,DCC0330,0.8634835931601387,3,Sorivudine,Dasatinib,-,L01XE06,-,L
DCC0457,DCC0384,0.8977224554685792,3,Sorivudine,L744832,-,-,-,-
DCC0457,DCC0355,0.8991015040683323,3,Sorivudine,Genistein,-,-,-,-
DCC0457,DCC0336,0.8955571203080989,3,Sorivudine,Sunitinib,-,L01XE04,-,L
DCC0457,DCC0403,0.9005742525211895,3,Sorivudine,Tegafur,-,L01BC03,-,L
DCC0457,DCC0416,0.8997023962454399,3,Sorivudine,Potassium,-,-,-,-
DCC0457,DCC0439,0.8996292688753087,3,Sorivudine,"5-2,4-dihydroxypyrimidine",-,-,-,-
DCC0457,DCC0046,0.8995926464532711,3,Sorivudine,Mitomycin,-,L01DC03,-,L
DCC0457,DCC0006,0.8833165390643692,3,Sorivudine,Aldesleukin,-,L03AC01,-,L
DCC0457,DCC0394,0.8516936944155479,3,Sorivudine,Aplidine,-,-,-,-
DCC0457,DCC0271,0.8553028334715008,3,Sorivudine,Topotecan,-,L01XX17,-,L
DCC0457,DCC0332,0.8714405191600821,3,Sorivudine,Lapatinib,-,L01XE07,-,L
DCC0457,DCC0426,0.8759818262944638,3,Sorivudine,2-methoxyestradiol,-,-,-,-
DCC0457,DCC0096,0.8956610732551421,3,Sorivudine,Epirubicin,-,L01DB03,-,L
DCC0457,DCC0215,0.8974499722675371,3,Sorivudine,Temozolomide,-,L01AX03,-,L
DCC0457,DCC1417,0.8794852059354475,3,Sorivudine,Dacarbazine,-,L01AX04,-,L
DCC0457,DCC1164,0.9116067643867865,3,Sorivudine,Octreotide,-,H01CB02,-,H
DCC0457,DCC1205,0.9096663045212822,3,Sorivudine,Midodrine,-,C01CA17,-,C
DCC0457,DCC0162,0.8971106639392928,3,Sorivudine,Leucovorin,-,V03AF03,-,V
DCC0457,DCC0108,0.9014999075399664,3,Sorivudine,Altretamine,-,L01XX03,-,L
DCC0457,DCC0364,0.8791511315355466,3,Sorivudine,Flavopiridol,-,-,-,-
DCC0457,DCC0401,0.8786287836155796,3,Sorivudine,Phorbol,-,-,-,-
DCC0457,DCC0469,0.851349387309876,3,Sorivudine,Trimidox,-,-,-,-
DCC0457,DCC0104,0.9268087112240336,3,Sorivudine,Raloxifene,-,G03XC01,-,G
DCC0457,DCC0307,0.9269479134731824,3,Sorivudine,Trimetrexate,-,P01AX07,-,P
DCC0457,DCC0429,0.8854349382457745,3,Sorivudine,Afatinib,-,L01XE13,-,L
DCC0457,DCC0360,0.9272146225045732,3,Sorivudine,"""2'-Deoxyinosine""",-,-,-,-
DCC0457,DCC0088,0.8962685005074774,3,Sorivudine,Trifluridine,-,S01AD02,-,S
