d1,d2,score,count,n1,n2
DCC0323,DCC0117,0.8025044516881376,17,Paclitaxel,Cisplatin
DCC0128,DCC0117,0.8012570396865518,16,Fluorouracil,Cisplatin
DCC0117,DCC0012,0.8144573626955735,15,Cisplatin,Bevacizumab
DCC0117,DCC0323,0.8025044516881376,17,Cisplatin,Paclitaxel
DCC0259,DCC0117,0.8361690329390589,16,Doxorubicin,Cisplatin
DCC0259,DCC0123,0.8060860420760133,42,Doxorubicin,Cyclophosphamide
DCC0123,DCC0117,0.8416746752663882,16,Cyclophosphamide,Cisplatin
DCC0156,DCC0123,0.8080550813208907,41,Prednisone,Cyclophosphamide
DCC0295,DCC0117,0.8030447535688628,15,Capecitabine,Cisplatin
DCC0329,DCC0117,0.8425897756742098,16,Docetaxel,Cisplatin
DCC0012,DCC0046,0.8040270780472368,9,Bevacizumab,Mitomycin
DCC0012,DCC1235,0.8122155107969412,10,Bevacizumab,Chlorambucil
DCC0012,DCC1710,0.8025517846992665,9,Bevacizumab,Plerixafor
DCC0189,DCC1639,0.8077761177219797,15,Irinotecan,Ixabepilone
DCC0153,DCC0245,0.8196820802843832,15,Clofarabine,Carboplatin
DCC0153,DCC0126,0.8112300215204167,23,Clofarabine,Vincristine
DCC0153,DCC0295,0.8112642078415331,23,Clofarabine,Capecitabine
DCC0153,DCC0046,0.8212319970160685,23,Clofarabine,Mitomycin
DCC0153,DCC0096,0.8116205771140036,23,Clofarabine,Epirubicin
DCC0153,DCC0108,0.8163146055320957,23,Clofarabine,Altretamine
DCC0153,DCC0288,0.8352411030257758,23,Clofarabine,Fludarabine
DCC0153,DCC0420,0.8126716676848024,9,Clofarabine,Tirapazamine
DCC0153,DCC0275,0.8056054530968221,9,Clofarabine,Procainamide
DCC0153,DCC0311,0.8301754079312402,23,Clofarabine,Ifosfamide
DCC0153,DCC0411,0.8152245577994992,4,Clofarabine,Lomeguatrib
DCC0153,DCC1120,0.8074022892684073,9,Clofarabine,Pegfilgrastim
DCC0153,DCC1555,0.8050643352110356,9,Clofarabine,Panitumumab
DCC0153,DCC1129,0.8049249178800454,9,Clofarabine,Palifermin
DCC0153,DCC1234,0.8105820525640887,16,Clofarabine,Bleomycin
DCC0153,DCC1522,0.8096132742703952,23,Clofarabine,Procarbazine
DCC0153,DCC1535,0.815764920795341,23,Clofarabine,Mitoxantrone
DCC0153,DCC1471,0.8244872051513141,23,Clofarabine,Busulfan
DCC0122,DCC0414,0.8027328157577888,5,Erlotinib,Mesna
DCC0122,DCC1639,0.8030045760612227,15,Erlotinib,Ixabepilone
DCC0122,DCC1129,0.8035872984580307,9,Erlotinib,Palifermin
DCC0122,DCC1688,0.806113411074533,14,Erlotinib,Axitinib
DCC0158,DCC1555,0.8007500441667693,9,Pemetrexed,Panitumumab
DCC0001,DCC0414,0.8143822904800683,5,Cetuximab,Mesna
DCC0001,DCC1639,0.8358074799134811,5,Cetuximab,Ixabepilone
DCC0001,DCC1235,0.8055858915579637,6,Cetuximab,Chlorambucil
DCC0361,DCC0411,0.8062855869265415,4,Vorinostat,Lomeguatrib
DCC0361,DCC1555,0.8273558039814468,8,Vorinostat,Panitumumab
DCC0008,DCC1639,0.8108485267470509,9,Trastuzumab,Ixabepilone
DCC0008,DCC1235,0.8013720156940334,10,Trastuzumab,Chlorambucil
DCC0008,DCC1688,0.8114293524699691,9,Trastuzumab,Axitinib
DCC0245,DCC0153,0.8196820802843832,15,Carboplatin,Clofarabine
DCC0245,DCC0046,0.8068705450023795,15,Carboplatin,Mitomycin
DCC0126,DCC0153,0.8112300215204167,23,Vincristine,Clofarabine
DCC0126,DCC0288,0.816458468241199,22,Vincristine,Fludarabine
DCC0126,DCC1471,0.806096605135462,22,Vincristine,Busulfan
DCC0148,DCC0411,0.8016650930201034,4,Imatinib,Lomeguatrib
DCC0079,DCC0411,0.8120411322576881,4,Sorafenib,Lomeguatrib
DCC0355,DCC0414,0.8100925043655357,4,Genistein,Mesna
DCC0355,DCC0411,0.8209052753206291,4,Genistein,Lomeguatrib
DCC0295,DCC0153,0.8112642078415331,23,Capecitabine,Clofarabine
DCC0336,DCC1555,0.8054592656787762,9,Sunitinib,Panitumumab
DCC0336,DCC1639,0.8198483701612113,14,Sunitinib,Ixabepilone
DCC0336,DCC1688,0.8005903171606905,14,Sunitinib,Axitinib
DCC0094,DCC1639,0.8123830016977572,15,Gemcitabine,Ixabepilone
DCC0094,DCC1129,0.8053723732387369,9,Gemcitabine,Palifermin
DCC0403,DCC0411,0.8182435756109072,4,Tegafur,Lomeguatrib
DCC0416,DCC0411,0.8190971062570171,4,Potassium,Lomeguatrib
DCC0046,DCC0012,0.8040270780472368,9,Mitomycin,Bevacizumab
DCC0046,DCC0153,0.8212319970160685,23,Mitomycin,Clofarabine
DCC0046,DCC0245,0.8068705450023795,15,Mitomycin,Carboplatin
DCC0046,DCC0108,0.8005178506224039,23,Mitomycin,Altretamine
DCC0046,DCC0288,0.8120685181236393,23,Mitomycin,Fludarabine
DCC0046,DCC0420,0.8068479991354132,9,Mitomycin,Tirapazamine
DCC0046,DCC0275,0.8002268366897652,9,Mitomycin,Procainamide
DCC0046,DCC0311,0.8158827905224366,23,Mitomycin,Ifosfamide
DCC0046,DCC0411,0.8228083258610437,4,Mitomycin,Lomeguatrib
DCC0046,DCC1471,0.8026868800876067,23,Mitomycin,Busulfan
DCC0426,DCC0411,0.8015753017658125,4,2-methoxyestradiol,Lomeguatrib
DCC0096,DCC0153,0.8116205771140036,23,Epirubicin,Clofarabine
DCC0096,DCC1129,0.8004088833209901,9,Epirubicin,Palifermin
DCC0215,DCC1120,0.8000913737232679,9,Temozolomide,Pegfilgrastim
DCC0215,DCC1555,0.8075137854174891,9,Temozolomide,Panitumumab
DCC0215,DCC1624,0.8038743067040788,11,Temozolomide,Uracil
DCC1417,DCC1120,0.8051858210293548,9,Dacarbazine,Pegfilgrastim
DCC1417,DCC1555,0.8102730014808551,9,Dacarbazine,Panitumumab
DCC1417,DCC1129,0.8021483269092646,9,Dacarbazine,Palifermin
DCC0162,DCC0420,0.8000574694099408,9,Leucovorin,Tirapazamine
DCC0162,DCC1639,0.8010904614291233,15,Leucovorin,Ixabepilone
DCC0108,DCC0153,0.8163146055320957,23,Altretamine,Clofarabine
DCC0108,DCC0046,0.8005178506224039,23,Altretamine,Mitomycin
DCC0108,DCC0288,0.8138939786972381,23,Altretamine,Fludarabine
DCC0108,DCC0420,0.8217186852772513,9,Altretamine,Tirapazamine
DCC0108,DCC0311,0.8191792387969105,22,Altretamine,Ifosfamide
DCC0108,DCC0414,0.8121864328495944,5,Altretamine,Mesna
DCC0108,DCC1120,0.8113093872192565,9,Altretamine,Pegfilgrastim
DCC0108,DCC1555,0.8169092615045491,9,Altretamine,Panitumumab
DCC0108,DCC1138,0.8031601422274617,5,Altretamine,Gemtuzumab
DCC0108,DCC1129,0.8090026451442468,9,Altretamine,Palifermin
DCC0108,DCC1471,0.812892990590978,22,Altretamine,Busulfan
DCC0288,DCC0153,0.8352411030257758,23,Fludarabine,Clofarabine
DCC0288,DCC0126,0.816458468241199,22,Fludarabine,Vincristine
